ID;createdAt;createdBy;category;title;content;sourceRef
06000000-0000-4000-8000-00000000002f;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Professional and Consulting Services Group;Management consulting, engineering services, audit and training services map to material group MG-SRV-001.;MG-SRV-001
06000000-0000-4000-8000-000000000030;2026-07-16T09:00:00+0200;curator;MaterialGroupCatalog;Logistics and Freight Services Group;Freight forwarding, courier services, warehousing and customs handling map to material group MG-SRV-002.;MG-SRV-002
06000000-0000-4000-8000-000000000016;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 12160000;Laboratory chemicals and reagents commodity family 12160000 covers solvents, buffers and assay reagents.;12160000
06000000-0000-4000-8000-000000000017;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 43230000;Software and software licensing commodity family 43230000 covers subscriptions and per-seat licenses.;43230000
06000000-0000-4000-8000-000000000018;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 46180000;Personal safety and protective equipment commodity family 46180000 covers goggles, helmets and respirators.;46180000
06000000-0000-4000-8000-000000000019;2026-07-16T09:00:00+0200;curator;CommodityTaxonomy;UNSPSC 56100000;Office and cubicle furniture and accessories commodity family 56100000 covers desks, chairs and cabinets.;56100000
06000000-0000-4000-8000-00000000001a;2026-07-16T09:00:00+0200;curator;SupplierProfile;Leica Microsystems;Leica Microsystems supplies microscopes, imaging systems and precision optics and is an approved alternative to Zeiss for microscopy.;SUP-LEICA
06000000-0000-4000-8000-00000000001b;2026-07-16T09:00:00+0200;curator;SupplierProfile;Eppendorf SE;Eppendorf supplies centrifuges, pipettes, tubes and liquid handling equipment for laboratory use.;SUP-EPPENDORF
06000000-0000-4000-8000-00000000001c;2026-07-16T09:00:00+0200;curator;SupplierProfile;Thermo Fisher Scientific;Thermo Fisher supplies laboratory instruments, cold storage, reagents and consumables across the full lab portfolio.;SUP-THERMO
06000000-0000-4000-8000-00000000001d;2026-07-16T09:00:00+0200;curator;SupplierProfile;Sigma-Aldrich Chemie;Sigma-Aldrich supplies laboratory chemicals, solvents, reagents and analytical standards.;SUP-SIGMA
06000000-0000-4000-8000-00000000001e;2026-07-16T09:00:00+0200;curator;SupplierProfile;Lenovo Deutschland;Lenovo supplies laptops, desktops and docking stations and is an approved alternative to Dell for IT hardware.;SUP-LENOVO
06000000-0000-4000-8000-00000000001f;2026-07-16T09:00:00+0200;curator;SupplierProfile;Cisco Systems;Cisco supplies switches, routers, firewalls and datacenter networking equipment.;SUP-CISCO
06000000-0000-4000-8000-000000000020;2026-07-16T09:00:00+0200;curator;SupplierProfile;Steelcase Werndl AG;Steelcase supplies office furniture including desks, ergonomic chairs and storage systems.;SUP-STEELCASE
06000000-0000-4000-8000-000000000021;2026-07-16T09:00:00+0200;curator;SupplierProfile;3M Safety Solutions;3M supplies personal safety equipment including goggles, respirators and hearing protection meeting EN standards.;SUP-3M
06000000-0000-4000-8000-000000000022;2026-07-16T09:00:00+0200;curator;Policy;Preferred Supplier Policy;"Requirements must be sourced from approved suppliers where a framework agreement exists; deviations require Procurement Manager approval.";POL-003
06000000-0000-4000-8000-000000000023;2026-07-16T09:00:00+0200;curator;Policy;Capital Expenditure Threshold;Single items above 25,000 EUR are treated as capital expenditure and require finance sign-off before the sourcing project is approved.;POL-004
06000000-0000-4000-8000-000000000024;2026-07-16T09:00:00+0200;curator;Policy;Hazardous Materials Handling;Chemicals and reagents require a safety data sheet on file and a licensed carrier for transport.;POL-005
06000000-0000-4000-8000-000000000025;2026-07-16T09:00:00+0200;curator;Guideline;Sourcing Project Timeline Guideline;"Standard lab instrument sourcing runs 8 to 12 weeks from approval to delivery; consumables and office supplies typically run 2 to 4 weeks. Plan timelines accordingly.";GDL-001
06000000-0000-4000-8000-000000000026;2026-07-16T09:00:00+0200;curator;Guideline;Priority Assignment Guideline;Assign High priority when a requirement blocks active research or production, Medium for planned replacement cycles, and Low for discretionary or stock-replenishment purchases.;GDL-002
06000000-0000-4000-8000-000000000027;2026-07-16T09:00:00+0200;curator;Guideline;Risk Assessment Guideline;Assess supply risk for single-source items, lead-time risk for equipment over 8 weeks, budget risk when estimates exceed threshold, and compliance risk for chemicals and PPE.;GDL-003
06000000-0000-4000-8000-000000000028;2026-07-16T09:00:00+0200;curator;Guideline;Duplicate Consolidation Guideline;Requirements from different departments requesting the same item within one quarter should be consolidated into a single project to improve volume pricing.;GDL-004
06000000-0000-4000-8000-000000000029;2026-07-16T09:00:00+0200;curator;PastProject;2025 IT Laptop Rollout;Prior rollout sourced 120 laptops and 120 docking stations from Dell at Medium priority with a 6 week lead time and a 180,000 EUR budget.;PP-2025-IT
06000000-0000-4000-8000-00000000002a;2026-07-16T09:00:00+0200;curator;PastProject;2025 Office Ergonomics Program;Prior program sourced 60 ergonomic chairs and 60 sit-stand desks from Steelcase at Low priority with a 5 week lead time.;PP-2025-OFF
06000000-0000-4000-8000-00000000002b;2026-07-16T09:00:00+0200;curator;PastProject;2026 Cold Storage Expansion;Prior expansion sourced 4 ultra-low freezers from Thermo Fisher at High priority with a 12 week lead time and required finance sign-off as capital expenditure.;PP-2026-COLD
